"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CADM2",1.12900927917937e-14,0.575533488948263,0.861,0.556,4.8888359807025e-10
"C15orf41",1.19084457274543e-14,0.362644970933382,0.266,0.07,5.15659516890225e-10
"GRK3",1.21068591611769e-14,0.40913737542001,0.158,0.006,5.24251215397284e-10
"OLA1",1.29867347838002e-14,0.264003611294216,0.302,0.09,5.62351589608118e-10
"PPARA",1.35083591427327e-14,0.303780561936084,0.199,0.028,5.8493896759861e-10
"ZNF407",1.43632444536634e-14,0.272643478999451,0.301,0.09,6.21957211332534e-10
"PIK3CA",1.5823773593444e-14,0.324209509701085,0.247,0.056,6.85201044143311e-10
"BMPR1A",1.73657574581035e-14,0.337195908392661,0.276,0.076,7.51972029450799e-10
"TENT4A",1.86406945240026e-14,0.322023027221719,0.172,0.014,8.0717935427836e-10
"AC096677.1",1.91352257948561e-14,0.336829212402344,0.172,0.014,8.2859354736886e-10
"CCDC32",1.92475168006969e-14,0.427872921540995,0.161,0.008,8.33455972503777e-10
"UROS",1.95036709433677e-14,0.304435285449878,0.183,0.02,8.44547959189708e-10
"ATP5S",2.13403872170285e-14,0.372983014239902,0.176,0.017,9.2408144727177e-10
"TPPP",2.14438777090262e-14,-0.336467889148466,0.597,0.256,9.28562792556252e-10
"RSPRY1",2.22118066630835e-14,0.326363560883393,0.238,0.053,9.61815652124843e-10
"TENT4B",2.22942375481695e-14,0.263720137376015,0.166,0.011,9.65385074310836e-10
"NMRAL1",2.36771363861322e-14,0.287317342810042,0.219,0.042,1.0252673597923e-09
"GRK4",2.5859059337986e-14,0.392413027764805,0.19,0.025,1.11974898745347e-09
"GIT2",2.79067319915625e-14,0.25491102392185,0.201,0.031,1.20841730869864e-09
"AC099669.1",2.90207720182916e-14,0.301802076940387,0.159,0.008,1.25665746993606e-09
"NR3C2",3.06182712097695e-14,0.306453370677447,0.225,0.048,1.32583237992544e-09
"TPGS2",3.17210019234737e-14,0.263568729870632,0.185,0.022,1.37358282529026e-09
"AC125613.1",3.24491781082154e-14,0.520179057417306,0.142,0,1.40511431044194e-09
"AP000462.1",3.3363926298616e-14,0.397353030365269,0.153,0.006,1.44472473658267e-09
"NIPA1",3.47474338742487e-14,-0.327225030472647,0.366,0.124,1.50463338162272e-09
"SIAH1",3.5931862660902e-14,0.268901938496299,0.195,0.028,1.55592151694238e-09
"PBX3",3.69515690889259e-14,0.386146373485001,0.288,0.084,1.60007684468867e-09
"BLZF1",3.93723149328463e-14,0.319583757924358,0.204,0.034,1.70489998122211e-09
"AC242426.2",4.00785204484671e-14,0.426447904960891,0.147,0.003,1.73548009245952e-09
"KCMF1",4.01958648984619e-14,0.279579653923201,0.215,0.039,1.7405613418332e-09
"AC104986.2",4.0202609021576e-14,0.413312398704404,0.147,0.003,1.74085337585228e-09
"PDXK",4.06760402963364e-14,0.458255731913222,0.186,0.025,1.76135389691196e-09
"ORC4",4.25184590783299e-14,0.324108810060167,0.269,0.073,1.84113431500984e-09
"PDLIM5",4.59976740419209e-14,0.367592250637655,0.202,0.034,1.99179128136326e-09
"SERGEF",4.96718796429113e-14,0.389928168701305,0.227,0.048,2.15089173229734e-09
"AL512625.3",5.15050169693295e-14,0.42559983548324,0.146,0.003,2.23027024480591e-09
"PACRGL",5.16873573419953e-14,0.278503939199587,0.234,0.051,2.23816594762308e-09
"ST6GALNAC3",5.94726193038697e-14,0.254878506192476,0.54,0.256,2.57528336109616e-09
"LIN52",6.20257173933769e-14,0.315761643036029,0.24,0.056,2.68583761456801e-09
"RSU1",6.41988472938006e-14,0.431408292900228,0.24,0.059,2.77993848551615e-09
"XXYLT1",6.4434278763268e-14,0.449303075063533,0.174,0.02,2.79013313900703e-09
"AOAH",6.71043916119555e-14,0.464758821187296,0.207,0.039,2.9057543655809e-09
"ZNF592",6.89603760022229e-14,0.26485269064867,0.187,0.025,2.98612220164826e-09
"LINC00598",6.93444102583945e-14,0.590179681097743,0.171,0.017,3.002751653009e-09
"CYP20A1",7.00810810971315e-14,0.27090301364045,0.216,0.042,3.03465097366799e-09
"PATJ",7.02996653456464e-14,0.293631257918055,0.166,0.014,3.04411610879718e-09
"UNC13B",7.06541806892378e-14,0.311495667547983,0.21,0.039,3.05946733220537e-09
"ZNF451-AS1",7.13563466319509e-14,0.361413394763105,0.144,0.003,3.08987252185674e-09
"RRAGB",7.77294209417603e-14,0.253102713706661,0.197,0.031,3.3658393856201e-09
"LINC02197",8.61222367051942e-14,0.523653581190509,0.154,0.008,3.72926509380832e-09
"CXXC5",8.66243526649107e-14,-0.310431210230669,0.436,0.169,3.75100771909596e-09
"KSR1",8.78952944407693e-14,0.28759353190539,0.201,0.034,3.80604203987419e-09
"GLCCI1",8.87136865736261e-14,0.445583192356218,0.21,0.039,3.84148005601116e-09
"MCF2L2",9.40450332219779e-14,0.424545639934349,0.246,0.065,4.07233802857809e-09
"CCP110",9.64194920613532e-14,-0.380411139077279,0.543,0.228,4.17515684524072e-09
"AC023590.1",9.867823943681e-14,0.333304739001218,0.209,0.039,4.27296512409275e-09
"FAM196A",1.00992259390371e-13,0.397905079189589,0.21,0.042,4.37316681612183e-09
"XPR1",1.06680157477563e-13,0.291566712972649,0.225,0.051,4.61946417909343e-09
"AC007038.1",1.08480705526522e-13,0.378528342767854,0.154,0.008,4.69743151070944e-09
"TAF11",1.08574663576433e-13,0.257811242767775,0.227,0.051,4.70150008218671e-09
