"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"ITGA5",1.58684088282223e-21,0.276052244829802,0.104,0.047,6.87133839079682e-17,"4"
"VEGFB",1.71515315525315e-21,0.260560621753624,0.181,0.104,7.42695619287719e-17,"4"
"SPARC",1.72892658269357e-21,-0.547599707078175,0.046,0.133,7.48659788837971e-17,"4"
"PSEN1",1.74985410863209e-21,0.53697797155382,0.256,0.165,7.57721826119866e-17,"4"
"QSOX1",1.79490059760433e-21,0.294022209365593,0.109,0.051,7.77227856774627e-17,"4"
"CCDC12",1.87595541134283e-21,0.32875548089375,0.149,0.079,8.12326212219672e-17,"4"
"BAZ1A",2.04276507837547e-21,0.43266086811025,0.246,0.154,8.84558134238144e-17,"4"
"LYPLA1",2.16655915223325e-21,0.501757084870431,0.158,0.086,9.38163444100042e-17,"4"
"NME7",2.26923619498735e-21,-0.469130947845407,0.078,0.176,9.82624657153423e-17,"4"
"ZNF267",2.56175107831725e-21,0.321155495849062,0.112,0.053,1.10928945193294e-16,"4"
"RHOQ",2.63049926854505e-21,0.301299888027444,0.35,0.245,1.13905879326538e-16,"4"
"RECK",2.75466369986644e-21,0.328343740128285,0.226,0.14,1.19282447531617e-16,"4"
"CAPZB",2.83878055092362e-21,0.407271709930425,0.476,0.359,1.22924875416095e-16,"4"
"CDYL",3.0515686060988e-21,0.30634756095439,0.287,0.189,1.3213902378129e-16,"4"
"LRPAP1",3.18944392328291e-21,0.474402111956959,0.16,0.088,1.38109300765996e-16,"4"
"GNG2",3.33774386507448e-21,0.638001000399917,0.108,0.051,1.44530984845455e-16,"4"
"LDLRAD3",3.78114492576469e-21,-0.325327468102722,0.052,0.143,1.63731137575463e-16,"4"
"JAM3",3.89124171614955e-21,-0.448342166300259,0.026,0.102,1.68498548792708e-16,"4"
"NRDC",3.94336494295247e-21,0.29792621153883,0.401,0.292,1.70755588759728e-16,"4"
"TMEM184B",4.10551681532602e-21,-0.562353914034609,0.064,0.155,1.77777089137247e-16,"4"
"PROS1",4.33765414791201e-21,0.36018369976966,0.194,0.115,1.87829099912886e-16,"4"
"PPP2R3A",4.45872899885414e-21,-0.426521260888991,0.038,0.12,1.93071883108382e-16,"4"
"MTMR14",5.5668767175176e-21,0.358764714212201,0.176,0.1,2.41056895621947e-16,"4"
"ID2",5.67283163939707e-21,0.447588501250076,0.278,0.181,2.45644955649172e-16,"4"
"CDKL3",6.09576531737294e-21,-0.383252472222273,0.054,0.144,2.63958829772883e-16,"4"
"AKT3",6.16566586791948e-21,-0.510993580030005,0.476,0.553,2.66985663412649e-16,"4"
"MORF4L1",6.92201510704759e-21,0.664405338717859,0.293,0.2,2.99737098165375e-16,"4"
"ROBO1",7.01408116214896e-21,-0.417130967273931,0.033,0.113,3.03723742483374e-16,"4"
"IFITM2",7.33441657126768e-21,0.27753592240488,0.117,0.057,3.17594906369033e-16,"4"
"MYO9A",7.90511880697877e-21,-0.576183057423449,0.222,0.334,3.42307454579795e-16,"4"
"TTC7A",8.81281752987324e-21,0.322624503433286,0.331,0.228,3.81612624678571e-16,"4"
"HSPD1",9.21082106920097e-21,-1.22017816316789,0.184,0.288,3.9884697393854e-16,"4"
"GNS",9.39319994248903e-21,0.341364717171612,0.185,0.107,4.0674434390966e-16,"4"
"TMED2",9.5560678220249e-21,0.835562075086578,0.111,0.054,4.13796848829322e-16,"4"
"ASRGL1",1.16081071822908e-20,-0.446516704581109,0.031,0.109,5.02654257207558e-16,"4"
"FBXL13",1.16172993963595e-20,-0.401413606826959,0.03,0.107,5.03052298461159e-16,"4"
"TMLHE",1.22693057094057e-20,0.291404255675048,0.18,0.105,5.31285475828686e-16,"4"
"STAG2",1.35116942210746e-20,0.362935596304076,0.327,0.227,5.85083383160971e-16,"4"
"BRK1",1.35978826212967e-20,0.760544600395717,0.141,0.076,5.88815513267391e-16,"4"
"AL445426.1",1.43659173346106e-20,-0.399089561493735,0.026,0.101,6.22072952423307e-16,"4"
"SLC24A4",1.48672885987849e-20,-0.524761668236259,0.028,0.102,6.43783330904583e-16,"4"
"SEL1L",1.60422204136104e-20,0.310887862429437,0.243,0.154,6.94660228350155e-16,"4"
"TAPT1-AS1",1.66632439390699e-20,-0.599130490227774,0.138,0.24,7.21551789049607e-16,"4"
"FADS1",1.67566023699633e-20,-0.424466500377832,0.033,0.11,7.25594395824153e-16,"4"
"NPM1",1.72901834727328e-20,0.581397109048214,0.157,0.088,7.48699524736277e-16,"4"
"USP24",2.00780035085431e-20,0.322052721676433,0.344,0.246,8.69417707926932e-16,"4"
"RASA1",2.16487222489797e-20,0.285405480623307,0.391,0.287,9.37432970825318e-16,"4"
"ATP1A1",2.21772953239449e-20,0.331734702090894,0.18,0.103,9.60321242117462e-16,"4"
"FOXP1",2.25583779885196e-20,0.39136742525803,0.554,0.463,9.76822883658878e-16,"4"
"C1orf56",2.3593757607834e-20,0.27485695340512,0.119,0.059,1.02165689193443e-15,"4"
"SUCLG2-AS1",2.38984700631549e-20,-0.527983576822944,0.09,0.186,1.03485155067473e-15,"4"
"SP3",2.57040382850697e-20,0.414201598241595,0.255,0.165,1.11303626582009e-15,"4"
"LPIN2",2.89927405183142e-20,0.265383050153487,0.343,0.238,1.25544364992404e-15,"4"
"KATNAL1",2.96329094809387e-20,-0.334687511600199,0.031,0.109,1.28316424634361e-15,"4"
"AC009690.1",3.07142435420414e-20,0.44777503521571,0.252,0.168,1.32998817385748e-15,"4"
"AGO2",3.14554925909153e-20,-0.37148478977566,0.131,0.24,1.36208574017181e-15,"4"
"CREB1",3.20228797277352e-20,0.319780139958262,0.269,0.178,1.38665473797039e-15,"4"
"HM13",3.31352748425619e-20,0.283038031894532,0.245,0.156,1.43482367123261e-15,"4"
"RRBP1",3.56625719828304e-20,0.265191185770173,0.23,0.142,1.54426069200052e-15,"4"
