"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PTP4A2",5.80900510712437e-74,0.546954204227048,0.252,0.203,2.51541539148699e-69,"0"
"CACNA2D1",6.61929846194129e-74,0.396234422490545,0.49,0.465,2.86628861998982e-69,"0"
"RBPJ",2.6649155319801e-73,0.465568166714191,0.48,0.454,1.15396172365802e-68,"0"
"BTBD3",2.8128082965901e-73,0.418742480932575,0.336,0.292,1.21800224858945e-68,"0"
"MOG",6.86885199392744e-73,0.322889710018745,0.428,0.359,2.97435029041046e-68,"0"
"ROBO1",2.30996347313566e-72,0.308071461429618,0.432,0.388,1.00026038313721e-67,"0"
"GAB2",2.87893736395857e-70,0.317579042797127,0.479,0.437,1.24663745734134e-65,"0"
"PACS2",3.97953724719665e-70,0.441729680928331,0.378,0.338,1.72321921878109e-65,"0"
"MYO1E",1.79919782988671e-69,0.257882990903917,0.398,0.346,7.79088644297544e-65,"0"
"SSH2",4.42813534085797e-68,0.271472205229487,0.528,0.503,1.91747116529832e-63,"0"
"ZFHX4",9.46833593557622e-66,0.427580999179774,0.332,0.292,4.09997882682322e-61,"0"
"NAA16",2.86166654286618e-65,0.360223797486357,0.258,0.217,1.23915884639191e-60,"0"
"GLTP",6.83916381487895e-65,0.48053909514144,0.264,0.221,2.96149471511888e-60,"0"
"BCL2",1.60949149667131e-63,0.46496165631926,0.34,0.306,6.96942007888609e-59,"0"
"GPHN",2.79796253221662e-61,0.316236573494106,0.584,0.575,1.21157373570044e-56,"0"
"HECW2",1.42538298107303e-60,0.415875134852654,0.424,0.392,6.17219338464244e-56,"0"
"C12orf76",4.75147222786066e-60,0.392046044238056,0.319,0.279,2.05748250410822e-55,"0"
